question,intent
Who scored the most runs in IPL 2013?,batting
What was Virat Kohli's strike rate in IPL 2016?,batting
How many centuries has Chris Gayle scored in IPL?,batting
Who hit the most sixes in IPL 2015?,batting
What is Rohit Sharma's batting average?,batting
Who scored the most fours in IPL history?,batting
How many fifties did AB de Villiers score?,batting
What was David Warner's strike rate in the powerplay?,batting
Highest individual score in an IPL final,batting
Who has scored the most ducks in IPL?,batting
Top 5 run scorers in IPL 2022,batting
Who scored the fastest century in IPL?,batting
What is Suresh Raina's batting average against pace bowlers?,batting
How many boundaries did Shikhar Dhawan hit in IPL 2020?,batting
Who has the best strike rate in the death overs?,batting
What was KL Rahul's highest score in a single match?,batting
Who scored the most runs in the middle overs in IPL 2023?,batting
How many sixes has MS Dhoni hit in his IPL career?,batting
Who holds the record for most runs in a single IPL season?,batting
What is Jos Buttler's strike rate against spin?,batting
How many half-centuries did Faf du Plessis score in IPL 2021?,batting
Who scored the fastest fifty in IPL history?,batting
What was Sanju Samson's batting average in IPL 2024?,batting
Top 10 batters by strike rate in IPL 2019,batting
Who has the highest career batting average in IPL?,batting
How many runs did Yusuf Pathan score in IPL finals?,batting
Which batsman has scored the most runs against RCB?,batting
Who scored the most boundaries in IPL 2018?,batting
What is Glenn Maxwell's strike rate in the death overs?,batting
Who has the best batting average among Indian players?,batting
How many hundreds has Shubman Gill scored?,batting
Who scored the highest individual score for CSK?,batting
What was the highest score by an opener in IPL 2023?,batting
How many runs did Ruturaj Gaikwad score in IPL 2023?,batting
Who has scored the most runs in playoff matches?,batting
What is Prithvi Shaw's strike rate in the powerplay overs?,batting
Who has hit the most sixes in a single IPL match?,batting
How many fifties has Virat Kohli scored in IPL?,batting
Who scored the slowest fifty in IPL history?,batting
What is Rishabh Pant's batting average against spinners?,batting
Who has the best strike rate among wicketkeepers?,batting
Top run scorers for Mumbai Indians in IPL history,batting
What was Travis Head's strike rate in IPL 2024?,batting
Who has the highest average in successful run chases?,batting
How many centuries were scored in IPL 2024?,batting
Who is the leading run scorer for Gujarat Titans?,batting
What is Devon Conway's strike rate against pace bowlers?,batting
Who scored the most runs after coming in as an impact player?,batting
Who has scored the most runs in Super Overs?,batting
What is Suryakumar Yadav's strike rate against spin bowlers?,batting
Who hit the most sixes in the powerplay in IPL 2023?,batting
How many runs did Virat Kohli score against Mumbai Indians?,batting
Who has the best strike rate in the first six overs across seasons?,batting
What is the highest score by a number 3 batsman in IPL?,batting
Who scored the most runs while batting first in IPL 2022?,batting
How many half-centuries did Jos Buttler score in IPL 2022?,batting
Who is the youngest batsman to score a century in IPL?,batting
What was Yashasvi Jaiswal's strike rate in IPL 2023?,batting
Who has scored the most runs in a losing cause?,batting
What is Quinton de Kock's batting average in IPL?,batting
Who has scored the most runs among all-rounders in IPL history?,batting
What is the batting average of the leading run scorer among wicketkeepers?,batting
Who has the highest strike rate among top-order batsmen?,batting
Which batsman has scored the most runs in successful chases?,batting
Who took the most wickets in IPL 2020?,bowling
What is Jasprit Bumrah's economy rate in IPL?,bowling
Who has the best bowling figures in a single match?,bowling
How many wickets did Rashid Khan take in IPL 2022?,bowling
Who is the highest wicket taker in IPL history?,bowling
What is Yuzvendra Chahal's economy rate in the powerplay?,bowling
Top 5 wicket takers in IPL 2019,bowling
Who has taken the most wickets in the death overs?,bowling
What is the best bowling economy in IPL 2023?,bowling
How many wickets did Bumrah take in IPL 2021?,bowling
Who has bowled the most dot balls in IPL 2022?,bowling
What is Mohammed Shami's strike rate as a bowler?,bowling
Who conceded the fewest runs in a single IPL innings?,bowling
Which bowler has the best economy in the middle overs?,bowling
How many maidens has Rashid Khan bowled in IPL?,bowling
Who took a hat-trick in IPL 2024?,bowling
What is Trent Boult's bowling average against left-handers?,bowling
Who has the most five-wicket hauls in IPL history?,bowling
How many wickets did Sunil Narine take in the powerplay overs?,bowling
What is Kagiso Rabada's economy rate in the death overs?,bowling
Top 10 bowlers by strike rate in IPL 2021,bowling
Who took the most wickets for Chennai Super Kings?,bowling
